Action 1.09.0013
1141;Get in contact with control supplier.
1142;Correct Cfg parameter
1143;- Exchange pig in route 1%CrLf%- Check compressed air supply%CrLf%
1144;Check the indicated INI file in the Explorer.
1145;- Check brush file in vision system%CrLf%- Download file again %CrLf%- delete file and create new
1146;Check the indicated file in the Explorer. Check available memory.
1147;Check the indicated path in the Explorer.
1148;Evaluate error reports and delete indicated brush files, release indicated directories, check hard disk, restart control.
1149;Check settings at the HMI, download brush file again.
1150;Purge channel
1151;Reselect color once again. Check interface. Check vision system.
1152;Wait until time program has ended.
1153;Check teach program and adapt.
1154;Create file for indicated module and color group.
1155;Acknowledge and restart. If the error is repeated, abort the car body and order again.
1156;Check configuration and restart control.
1157;Check configuration and restart control.
1158;Check mentioned file and restart control
1159;Check fixed position point and restart control.
1160;Restart control. Contact control supplier if this should occur repeatedly.
1161;Check the program number configured in the ProcessBuilder and restart control.
1162;Check the file _globalvars and restart control.
1163;Program mentioned point in the demanded coordinate system and restart control
1164;Check _globalvars and configuration, restart control.
1165;Wait until the channels have been readily prepared. If this should not happen, abort car body and order again.
1166;Export software with EcoProcessBuilder again and compile again.
1167;Check whether process is turned on %CrLf%- check compressed air supply 
1168;- In manual mode: switch on device from the vision system. %CrLf%- In automatic mode: set required value with the aid of a time program.
1169;Check time program, check paint assignment table 
1171;- Check task execution %CrLf%- Check teach program and arrange SET_BRUSH and WAIT_PROCESS_READY correctly
1172;Check PCA.DEF and adjust where appropriate, download PCA.INI again.
1173;Check parameterization and generate code new with ProcessBuilder, compile, restart control.
1174;Check color assignment table and adjust where appropriate, download again, reselect again.
1175;Check configuration in ProcessBuilder and generate code again.
1177;Acknowledge, in case of repeated occurrence, contact control supplier.
1178;Check the indicated file in the Explorer.
1179;Check parameterization of the bypass supervision: [RC.BypassArea], [RC.BypassArea.Base], [RC.BypassArea.Size] and the entered values. 
1180;Check parameterization of the grippers.
1181;Check temperature in the switch cabinet at the control element
1182;Check Process.cfg whether the correct air flow was related:%CrLf%e.g.%CrLf%[PCUx\AirHeaters\AHeatx]%CrLf%linkedAirflow = 4,-,"QML"%CrLf%
1183;Acknowledge error report and carry out function once again with inactive robot axes where appropriate.
1184;Pay attention to further drive errors, carry out function again where appropriate.
1185;Check earthing switch, exchange or clean if required.
1186;Deactivate high tension.
1187;Regenerate Processbuilder files 
1189;Check indicated slave
1191;In the kemro.manager, enter a name for the master FX760A:0/PBDP:0 and restart control
1192;Check configuration, possibly recreate, restart control
1193;Pay attention to further drive errors, contact controller manufacturer where appropriate.
1194;In the configuration file -IoSercos.cfg- set the -driverMode = 1- and restart control.
1195;Check robot position.%CrLf%Check configuration of the fixed positions with ProcessBuilder.
1196;Carry out brake test.
1197;Turn on drive.
1198;Check control element and drive. For this, also refer to special documentation "TB 132"
1199;1. Change over to manual operation and check main needle and feedback manually %CrLf%2. Clean main needle/atomizer %CrLf%3. Wire and all electric components (check amplifier, fiber optic light cable) %CrLf%4. Check control air pressure
1200;Eliminate external influence
1201;Relieve robot if jammed.
1202;Reference drive manually so that it can be displaced again.%CrLf%Then bring into its reference position and reference automatically/manually there.
1203;Load original parameter set into the drive.
1204;Activate provisional traveling release at the vision system and carry out brake test.
1205;Make storage space on target volume, acknowledge error report and carry out function once again.
1206;Check communication with PLC
1207;In the kemro.manager, enter a name for the slave FX765A:0/PBDP:0/PBDPSLAVE:0 and restart control
1208;Stop conveyor and repeat measurement
1209;Stop conveyor
1211;Check configuration with Kemromgr and align with interface documentation,%CrLf%then restart control.
1212;Unplug brake releasing device.
1213;Check corresponding code place with debugger and restart control.
