P1005OB7xx_07.42b;;
2050;1;affirmation a échoué : %1 Ligne %2
2050;10;Valeur Int impossible à comptabiliser '%1.%2'
2050;11;Valeur Uint impossible à comptabiliser '%1.%2'
2050;12;Valeur réelle impossible à comptabiliser '%1.%2'
2050;13;Valeur chaîne de caractères impossible à comptabiliser '%1.%2'
2050;14;Interface impossible à comptabiliser '%1.%2'
2050;20;Valeur Int impossible à lire '%1.%2'
2050;21;Valeur Uint impossible à lire '%1.%2'
2050;22;Valeur réelle impossible à lire '%1.%2'
2050;23;Valeur chaîne de caractères impossible à lire '%1.%2'
2050;24;Interface impossible à lire : '%1.%2'
2050;30;Valeur Int impossible à écrire '%1.%2'
2050;31;Valeur Uint impossible à écrire '%1.%2'
2050;32;Valeur réelle impossible à écrire '%1.%2'
2050;33;Valeur chaîne de caractères impossible à écrire '%1.%2'
2050;40;Valeur Int %1.%2 hors plage [%3..%4]
2050;41;Valeur Uint %1.%2 hors plage [%3..%4]
2050;42;Valeur réelle %1.%2 hors plage [%3..%4]
2050;43;Valeur chaîne de caractères %1.%2 erreur de grandeur
2050;44;Tableau interface %1.%2 erreur de grandeur
2050;45;Erreur ShMemWrite reçue de [station : %1] [n° : %2]
2050;46;Erreur RecvShMemWrite handle incorrect reçu [Hdl : %1] [Offs : %2] [Size : %3]
2050;1001;Traitement exceptionnel départ
2050;1002;Divide Error (bp=%1, pc=%2, regs=%3)
2050;1003;Debug exception (bp=%1, pc=%2, regs=%3)
2050;1004;Non Maskable Interrupt (NMI) (bp=%1, pc=%2, regs=%3)
2050;1005;Breakpoint exception (bp=%1, pc=%2, regs=%3)
2050;1006;Overflow exception (bp=%1, pc=%2, regs=%3)
2050;1007;Bound exception (bp=%1, pc=%2, regs=%3)
2050;1008;Invalid Opcode exception (bp=%1, pc=%2, regs=%3)
2050;1009;FP Noappareil exception (bp=%1, pc=%2, regs=%3)
2050;1010;Double Fault exception (bp=%1, pc=%2, regs=%3)
2050;1011;FP Overrun exception (bp=%1, pc=%2, regs=%3)
2050;1012;Invalid TSS exception (bp=%1, pc=%2, regs=%3)
2050;1013;No Segment exception (bp=%1, pc=%2, regs=%3)
2050;1014;Stack exception (bp=%1, pc=%2, regs=%3)
2050;1015;General Protection exception (bp=%1, pc=%2, regs=%3)
2050;1016;Page Fault (bp=%1, pc=%2, regs=%3)
